"#title","Metadata file for atacseq [fastq]"
"#preamble","Protocol identifier","test_prism_trial_id"
"#preamble","Batch id","XYZ"
"#preamble","Assay creator","Mount Sinai"
"#preamble","Sequencing protocol"
"#preamble","Library kit"
"#preamble","Sequencer platform","Illumina - NextSeq 550"
"#preamble","Paired end reads","Paired"
"#preamble","Read length","100"
"#preamble","Bait set"

"#skip","Samples"
"#header","Cimac id","Lane","Replicate number","Forward fastq","Reverse fastq","Sequencing date","%q30","Quality flag"
"#data","CTTTPP111.00","1","1","/local/path/to/fwd.1.1.1.fastq.gz","/local/path/to/rev.1.1.1.fastq.gz","2010-01-01 00:00:00","90","1"
"#data","CTTTPP111.00","1","2","/local/path/to/fwd.1.2.1.fastq.gz","/local/path/to/rev.1.2.1.fastq.gz","2010-01-01 00:00:00","90","1"
"#data","CTTTPP111.00","2","1","/local/path/to/fwd.1.1.1_2.fastq.gz","/local/path/to/rev.1.1.1_2.fastq.gz","2010-01-01 00:00:00","90","1"
"#data","CTTTPP111.00","2","2","/local/path/to/fwd.1.2.1_2.fastq.gz","/local/path/to/rev.1.2.1_2.fastq.gz","2010-01-01 00:00:00","90","1"
