"#t","Shipping manifest for plasma samples"
"#p","Manifest id","test_prism_trial_id_DNA"
"#p","Protocol identifier","test_prism_trial_id"
"#p","Assay priority","4"
"#p","Assay type","WES"
"#p","Receiving party","MDA_Bernatchez"
"#p","Courier","USPS"
"#p","Tracking number","TrackN"
"#p","Account number","AccN"
"#p","Shipping condition","Ice_Pack"
"#p","Date shipped","2001-10-10 00:00:00"
"#p","Date received","2002-10-10 00:00:00"
"#p","Quality of shipment","Specimen shipment received in good condition"
"#p","Ship from","ship from"
"#p","Ship to","ship to"


