"#title","Shipping manifest for dna extracted from normal blood samples"
"#preamble","Manifest id","test_prism_trial_id_DNA"
"#preamble","Protocol identifier","test_prism_trial_id"
"#preamble","Assay priority","4"
"#preamble","Assay type","WES"
"#preamble","Receiving party","MDA_Bernatchez"
"#preamble","Courier","USPS"
"#preamble","Tracking number","TrackN"
"#preamble","Account number","AccN"
"#preamble","Shipping condition","Ice_Pack"
"#preamble","Date shipped","2001-10-10 00:00:00"
"#preamble","Date received","2002-10-10 00:00:00"
"#preamble","Quality of shipment","Specimen shipment received in good condition"
"#preamble","Ship from","ship from"
"#preamble","Ship to","ship to"

